channel_name,total_views,avg_views,video_count
India Today,10778558.0,513264.6666666667,21
NDTV,4981761.0,830293.5,6
CNN-News18,3330577.0,832644.25,4
The Indian Express,2378918.0,475783.6,5
CNN,1997052.0,998526.0,2
midday india,1973483.0,1973483.0,1
Guardian News,1930396.0,386079.2,5
DD India,1904649.0,1904649.0,1
CNBC-TV18,1817897.0,605965.6666666666,3
NEWS9 Live,1437976.0,479325.3333333333,3
The Hindu,1344813.0,672406.5,2
Hindustan Times,1062399.0,531199.5,2
Sky News,979557.0,489778.5,2
BBC News,887966.0,443983.0,2
Firstpost,753203.0,188300.75,4
Al Jazeera English,751365.0,375682.5,2
Business Today,606508.0,606508.0,1
ABC News,559662.0,559662.0,1
Channel 4 News,529289.0,529289.0,1
Global News,510722.0,510722.0,1
Public TV,454029.0,454029.0,1
CBS News,416455.0,416455.0,1
moneycontrol,411530.0,411530.0,1
Simple Flying,409965.0,409965.0,1
DNAIndiaNews,403416.0,201708.0,2
news.com.au,374627.0,374627.0,1
NDTV Profit,338006.0,338006.0,1
Dainik Jagran - दैनिक जागरण,285063.0,285063.0,1
WION,273757.0,136878.5,2
Oneindia News,268390.0,268390.0,1
DW News,130778.0,130778.0,1
Newsweek,123309.0,123309.0,1
RTV,118278.0,118278.0,1
Allinonecontent,87612.0,87612.0,1
CNA,81164.0,81164.0,1
Al Arabiya English,78438.0,78438.0,1
ANI News,59709.0,59709.0,1
BBC News India,50460.0,50460.0,1
Business Standard,39680.0,39680.0,1
The Press Democrat,37745.0,37745.0,1
Republic World,8661.0,8661.0,1
Mojo Story,7920.0,7920.0,1
