title,channel_name,views
How Air India Flight Crashed Just After Take Off | Plane Crash | Ahmedabad | India Today,India Today,3034471.0
Pilot Sumit Sabharwal Issued A Mayday Minutes After Takeoff From Ahmedabad Airport | N18V,CNN-News18,2282833.0
Ahmedabad Plane Crash Kills Over 260 People: World Mourns Air India's Major Tragedy | WATCH,midday india,1973483.0
Air India Plane Crash: 241 Killed — Sole Survivor Breaks Silence on DD India,DD India,1904649.0
BJ Medical College Ahmedabad | Pics Show Air India Plane Crashed On Medical Students' Hostel,NDTV,1844085.0
"Miracle Survivor, Ramesh, Found In Air India Plane Crash, Jumped From Seat 11A | Ahmedabad Crash",India Today,1728205.0
"At least one passenger survived the Air India crash, police say",CNN,1703881.0
"Ahmedabad Plane Crash | CCTV Video Shows Air India Flight Trying To Take Off, Crashing Into Building",NDTV,1679424.0
Ahmedabad Plane Crash News LIVE | Air India Airplane Crash In Ahmedabad | Ahmedabad Airplane Crash,India Today,1611249.0
Ahmedabad Plane Crash: Experts Decode Pilot's Last Words And Details Of Black Box | India Today,India Today,1480884.0
