source,bigram,count
comments,air india,731
comments,rest peace,391
comments,plane crash,281
comments,condolences families,229
comments,loved ones,224
comments,god bless,198
comments,landing gear,198
comments,black box,196
comments,pilot error,191
comments,deepest condolences,188
comments,may god,167
comments,lost lives,150
comments,engine failure,144
comments,leave alone,130
comments,sad news,123
comments,lost loved,123
comments,final destination,119
comments,may souls,112
comments,souls rest,108
comments,plane crashed,100
