source,keyword,count
video titles,india,103
video titles,crash,94
video titles,air,93
video titles,ahmedabad,82
video titles,plane,74
video titles,flight,32
video titles,crashes,23
video titles,live,19
video titles,news,16
video titles,survivor,13
video titles,black,11
video titles,box,11
video titles,video,10
video titles,airport,9
video titles,london,9
video titles,today,8
video titles,boeing,8
video titles,near,8
video titles,moment,8
video titles,crashed,8
video descriptions,news,366
video descriptions,india,322
video descriptions,ahmedabad,179
video descriptions,air,166
video descriptions,crash,153
video descriptions,indian,151
video descriptions,plane,137
video descriptions,express,130
video descriptions,channel,126
video descriptions,follow,122
video descriptions,subscribe,106
video descriptions,flight,100
video descriptions,latest,93
video descriptions,updates,91
video descriptions,today,91
video descriptions,crashed,79
video descriptions,analysis,79
video descriptions,facebook,70
video descriptions,boeing,70
video descriptions,world,69
comments,plane,2119
comments,india,1688
comments,boeing,1465
comments,crash,1282
comments,air,1227
comments,god,1161
comments,condolences,1133
comments,people,1042
comments,sad,1040
comments,pilot,980
comments,may,940
comments,families,886
comments,flight,787
comments,indian,753
comments,time,716
comments,flaps,710
comments,lost,688
comments,news,675
comments,take,663
comments,rest,638
